fecha,hora,precio
1995-07-20,0,
1995-07-20,1,1.073
1995-07-20,2,1.073
1995-07-20,3,1.073
1995-07-20,4,1.073
1995-07-20,5,1.073
1995-07-20,6,1.073
1995-07-20,7,1.073
1995-07-20,8,1.074
1995-07-20,9,1.074
1995-07-20,10,2.827
1995-07-20,11,2.827
1995-07-20,12,2.827
1995-07-20,13,1.074
1995-07-20,14,1.073
1995-07-20,15,1.073
1995-07-20,16,1.073
1995-07-20,17,1.073
1995-07-20,18,1.074
1995-07-20,19,1.8969999999999998
1995-07-20,20,1.8969999999999998
1995-07-20,21,1.8969999999999998
1995-07-20,22,1.073
1995-07-20,23,1.073
1995-07-21,0,1.073
1995-07-21,1,1.0
1995-07-21,2,1.0
1995-07-21,3,1.0
1995-07-21,4,1.0
1995-07-21,5,1.0
1995-07-21,6,5.0
1995-07-21,7,6.0
1995-07-21,8,6.0
1995-07-21,9,6.0
1995-07-21,10,6.0
1995-07-21,11,9.256
1995-07-21,12,9.256
1995-07-21,13,5.0
1995-07-21,14,5.0
1995-07-21,15,1.0
1995-07-21,16,1.0
1995-07-21,17,5.0
1995-07-21,18,12.0
1995-07-21,19,16.67
1995-07-21,20,11.929
1995-07-21,21,5.0
1995-07-21,22,1.0
1995-07-21,23,1.0
1995-07-22,0,1.073
1995-07-22,1,1.073
1995-07-22,2,1.0
1995-07-22,3,1.0
1995-07-22,4,1.0
1995-07-22,5,1.073
1995-07-22,6,1.3030000000000002
1995-07-22,7,1.3030000000000002
1995-07-22,8,1.3030000000000002
1995-07-22,9,1.3030000000000002
1995-07-22,10,1.3030000000000002
1995-07-22,11,1.3030000000000002
1995-07-22,12,1.3030000000000002
1995-07-22,13,1.3030000000000002
1995-07-22,14,1.073
1995-07-22,15,1.0
1995-07-22,16,1.0
1995-07-22,17,1.0
1995-07-22,18,1.3030000000000002
1995-07-22,19,2.5
1995-07-22,20,2.5
1995-07-22,21,1.3030000000000002
1995-07-22,22,1.073
1995-07-22,23,1.073
1995-07-23,0,1.073
1995-07-23,1,1.0
1995-07-23,2,1.0
1995-07-23,3,1.0
1995-07-23,4,1.0
1995-07-23,5,1.0
1995-07-23,6,0.1
1995-07-23,7,1.0
1995-07-23,8,1.0
1995-07-23,9,1.0
1995-07-23,10,1.0
1995-07-23,11,1.0
1995-07-23,12,1.238
1995-07-23,13,1.238
1995-07-23,14,1.0
1995-07-23,15,0.1
1995-07-23,16,0.1
1995-07-23,17,1.0
1995-07-23,18,1.238
1995-07-23,19,1.238
1995-07-23,20,1.238
1995-07-23,21,1.238
1995-07-23,22,1.073
1995-07-23,23,1.0
1995-07-24,0,1.0
1995-07-24,1,1.0
1995-07-24,2,0.99
1995-07-24,3,1.0
1995-07-24,4,1.0
1995-07-24,5,1.073
1995-07-24,6,3.0
1995-07-24,7,3.0
1995-07-24,8,3.0
1995-07-24,9,3.5
1995-07-24,10,8.845
1995-07-24,11,9.256
1995-07-24,12,3.0
1995-07-24,13,1.073
1995-07-24,14,1.073
1995-07-24,15,1.073
1995-07-24,16,3.0
1995-07-24,17,2.0
1995-07-24,18,18.63
1995-07-24,19,22.5
1995-07-24,20,9.256
1995-07-24,21,3.0
1995-07-24,22,1.073
1995-07-24,23,1.0
1995-07-25,0,0.99
1995-07-25,1,0.99
1995-07-25,2,0.9890000000000001
1995-07-25,3,0.99
1995-07-25,4,0.99
1995-07-25,5,1.073
1995-07-25,6,1.263
1995-07-25,7,1.263
1995-07-25,8,1.263
1995-07-25,9,1.263
1995-07-25,10,1.263
1995-07-25,11,1.263
1995-07-25,12,1.263
1995-07-25,13,1.073
1995-07-25,14,1.073
1995-07-25,15,1.073
1995-07-25,16,1.073
1995-07-25,17,1.073
1995-07-25,18,1.263
1995-07-25,19,1.5
1995-07-25,20,1.263
1995-07-25,21,1.263
1995-07-25,22,1.073
1995-07-25,23,0.99
